zip,description,timestamp
47906,2 individuals weekly,5/3/2020 11:11:09
,,
49418,24 individuals Every other week,5/4/2020 0:03:12
45322,5 individuals Weekly,6/2/2020 17:45:33
48423,15 individuals Weekly,6/3/2020 6:43:44
47374,7 individuals Weekly,6/3/2020 7:32:05
43040,5 individuals Monthly,6/3/2020 8:38:58
43342,5 individuals Monthly,6/3/2020 8:42:37
46260,2 individuals every other week,6/3/2020 9:36:40
48108,5 individuals Weekly,6/3/2020 15:19:32
48105,12 individuals weekly,6/3/2020 17:15:22
44646,2 individuals weekly,6/3/2020 18:29:18
44264,11 individuals Weekly,6/3/2020 22:22:24
44264,7 individuals Weekly,6/3/2020 22:24:36
45420,40 individuals weekly,6/4/2020 21:25:13
45440,8 individuals Monthly,6/5/2020 13:08:13
48322,8 individuals Monthly,6/6/2020 15:46:46
43081,16 individuals WEEKLY,6/10/2020 9:35:49
45069,4 individuals Week,6/10/2020 11:14:31
48423,10 individuals weekly,6/10/2020 15:46:12
43040,10 individuals Weekly,6/12/2020 14:49:20
49735,6 individuals Weekly,6/12/2020 15:04:29
47130,8 individuals Weekly,6/12/2020 15:07:23
48178,10 individuals monthly,6/12/2020 15:32:08
,,
44685,48 individuals Weekly,6/12/2020 20:18:46
45742,12 individuals monthly,6/12/2020 20:49:55
,,
44118,19 individuals weekly,6/13/2020 11:17:04
,,
43219,45 individuals Started monthly now bi-weekly,6/13/2020 17:32:27
48423,4 individuals Weekly,6/13/2020 21:56:06
43209,6 individuals weekly on Fridays at 6:00pm,6/13/2020 23:20:44
44902,3 individuals Once month,6/14/2020 10:29:49
46947,0 individuals Monthly,6/14/2020 21:33:10
44118,6 individuals Every other week,6/14/2020 22:42:47
46807,4 individuals weekely,6/15/2020 10:00:06
46032,"2 individuals once a week, Thursdays",6/15/2020 14:57:26
48420,5 individuals Monthly ,6/16/2020 8:40:04
45387,"9 individuals every other week at least, sometimes more",6/16/2020 22:33:03
,,
43221,30 individuals Monthly,6/17/2020 13:22:23
47401,2 individuals Daily,6/19/2020 2:45:02
46278,9 individuals Once a month,6/19/2020 16:57:51
44146,7 individuals weekly,6/20/2020 10:34:54
44146,8 individuals daily,6/20/2020 10:38:01
46224,4 individuals 5-6 days per week,6/20/2020 12:55:38
47906,50 individuals every other week,6/21/2020 15:49:55
47906,4 individuals Weekly,6/21/2020 16:20:44
,,
44857,1 individuals Monthly ,6/23/2020 10:20:32
44116,3 individuals Bi-monthly,6/23/2020 16:37:08
46260,2 individuals weekly,6/24/2020 12:40:06
45231,2 individuals Weekly ,6/25/2020 19:24:46
,,
,,
44406,3 individuals Monthly ,6/26/2020 11:21:03
44119,2 individuals Weekly,6/26/2020 11:27:59
43551,6 individuals Monthly,6/26/2020 12:28:38
,,
44121,6 individuals First and Third Tuesday of the month,6/26/2020 12:41:06
48198,2 individuals Weekly,6/26/2020 13:40:14
44122,24 individuals 2nd and 4th Friday,6/26/2020 22:07:12
44022,2 individuals Daily,6/27/2020 22:06:20
48126,5 individuals Every other week,6/28/2020 10:31:07
48223,6 individuals Bimonthly ,6/28/2020 10:32:43
48439,9 individuals weekly,6/28/2020 10:34:08
44072,3 individuals weekly,6/29/2020 16:48:43
46220,2 individuals weekly,6/29/2020 19:22:33
,,
48423,2 individuals Daily Dawn Devotionals,7/6/2020 6:18:15
48473,4 individuals Weekly,7/8/2020 11:22:10
48083,10 individuals Every week (used to be every month),7/9/2020 6:52:20
49001,"3 individuals Weekly, 8:00am Sunday",7/9/2020 16:16:58
45431,1 individuals Weekly,7/9/2020 22:55:02
48235,10 individuals monthly ,7/10/2020 23:19:21
46635,5 individuals Weekly,7/12/2020 13:13:13
49684,4 individuals weekly,7/13/2020 14:10:51
46514,2 individuals twice a week,7/14/2020 13:44:42
43081,2 individuals Daily,7/14/2020 19:43:56
49507,2 individuals Daily,7/15/2020 11:41:28
,,
47401,8 individuals weekly,7/17/2020 17:23:20
49007,8 individuals Weekly,7/17/2020 20:25:40
46615,10 individuals Monthly,7/18/2020 14:11:03
48104,4 individuals Weekly,7/19/2020 20:00:06
45387,12 individuals Weekly,7/20/2020 23:29:43
45458,24 individuals each Gregorian month,7/21/2020 10:21:43
49855,2 individuals Weekly,7/24/2020 7:20:28
45387,2 individuals Weekly,7/24/2020 13:16:59
45387,12 individuals monthly,7/24/2020 13:22:40
45387,2 individuals 1-2 times monthly ,7/25/2020 17:30:47
45434,4 individuals every other week,7/26/2020 22:53:21
43078,5 individuals monthly,7/29/2020 11:05:08
43072,5 individuals monthly,7/29/2020 11:08:25
43078,5 individuals monthly,7/29/2020 11:11:05
,,
44870,12 individuals weekly,7/31/2020 21:29:40
,,
44839,2 individuals Daily,7/31/2020 21:38:53
48111,4 individuals every week,8/1/2020 20:03:10
46835,7 individuals weekly,8/2/2020 10:35:23
43560,8 individuals Monthly,8/2/2020 22:53:05
43560,3 individuals Weekly,8/3/2020 12:26:05
43560,4 individuals Every other week,8/3/2020 12:28:54
,,
49546,30 individuals Monthly,8/8/2020 14:03:08
,,
45387,4 individuals 4 Days a week,8/23/2020 7:06:39
48197,2 individuals Weekly,8/26/2020 18:07:12
44060,8 individuals every other week,8/28/2020 15:16:35
44118,2 individuals Daily ,9/1/2020 20:31:40
44110,12 individuals Monthly ,9/13/2020 15:53:10
46814,20 individuals Weekly,9/14/2020 21:50:09
44023,25 individuals Every other week,9/20/2020 18:50:49
48911,8 individuals Every other week,9/27/2020 12:00:05
48864,4 individuals Weekly,9/27/2020 12:20:06
48823,15 individuals monthly,9/27/2020 16:29:28
48808,40 individuals weekly,10/4/2020 14:47:51
48823,15 individuals monthly,10/6/2020 17:47:04
45133,2 individuals Monthly,10/8/2020 7:09:43
43551,6 individuals Weekly,10/8/2020 9:19:52
43420,10 individuals Monthly,10/8/2020 9:22:37
43230,5 individuals Weekly,10/8/2020 12:22:46
43230,16 individuals Weekly,10/8/2020 12:25:32
45619,4 individuals 4-6 weeks ,10/9/2020 19:45:03
44202,5 individuals Daily,10/13/2020 20:46:24
49855,4 individuals Biweekly,10/14/2020 17:32:43
47250,3 individuals Biweekly,10/14/2020 17:46:46
48197,2 individuals Daily,10/14/2020 20:56:48
,,
45133,7 individuals Monthly,10/17/2020 17:39:32
,,
,,
,,
,,
,,
,,
45322,10 individuals Weekly,10/25/2020 19:59:00
48827,15 individuals Monthly,10/28/2020 16:28:17
44308,6 individuals Monthly,10/30/2020 12:04:52
,,
48911,4 individuals Monthly,10/30/2020 13:01:03
48108,6 individuals Monthly,10/30/2020 16:17:19
,,
48104,4 individuals Weekly,10/31/2020 14:01:59
,,
49071,2 individuals Biweekly,11/1/2020 8:48:48
43725,5 individuals Weekly,11/1/2020 10:52:01
46201,5 individuals Monthly,11/2/2020 14:28:05
47404,3 individuals Weekly,11/2/2020 20:03:39
,,
43229,2 individuals Weekly,11/18/2020 11:05:27
44039,9 individuals Weekly,11/18/2020 11:25:31